School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 138 - BROOKLYN,K,17,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS,7693030,CIP,K138,760 PROSPECT PLACE,Brooklyn,11231,BROOKLYN,40.68007,-74.001377,306,39,3336036,3003690001,63,BK0601,"(40.68007, -74.001377)"
P.S. 446 - BROOKLYN,K,23,IPDVS CAMERA INSTALLATION / IPDVS INSTALLATION,418900,CIP,K183,76 RIVERDALE AVENUE,Brooklyn,11209,BROOKLYN,40.623986,-74.033779,310,47,3153416,3060430001,60,BK1001,"(40.623986, -74.033779)"
I.S. 62 - BROOKLYN,K,20,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FLOOD ELIMINATION,21883000,CIP,K062,700 CORTELYOU ROAD,Brooklyn,11236,BROOKLYN,40.635553,-73.91079,318,46,3224947,3080180001,956,BK1803,"(40.635553, -73.91079)"
IT TAKES A VILLAGE ACADEMY - K,K,18,FY21 RESO A AUDITORIUM UPGRADE,80000,CIP,K415,5800 TILDEN AVENUE,Brooklyn,11203,BROOKLYN,40.648657,-73.922171,317,45,3104598,3047420001,936,BK1703,"(40.648657, -73.922171)"
P.S. 132 - MANHATTAN,M,6,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES,9862354.98,CIP,M132,185 WADSWORTH AVENUE,Manhattan,10002,MANHATTAN,40.71925,-73.983056,103,1,1004091,1003440001,2201,MN0302,"(40.71925, -73.983056)"
BRONX CNTR FOR SCIENCE & MATH - X,X,9,WALK-IN REFRIGERATORS AND FREEZERS,440000,CIP,X002,1365 FULTON AVENUE,Bronx,10458,BRONX,40.872612,-73.883574,207,11,2094734,2032990060,415,BX0702,"(40.872612, -73.883574)"
P.S. 182 - BRONX,X,8,ELECTRICAL WORK FOR A/C INITIATIVE,3881.67,CIP,X182,601 STICKBALL BOULEVARD,Bronx,10457,BRONX,40.843546,-73.889755,206,15,2094582,2029510032,36901,BX0602,"(40.843546, -73.889755)"
R025 SPED - STATEN ISLAND,R,31,PHASE II RENOVATIONS / PATH OF TRAVEL WORK FOR R119 LEASED SITE (LLWS 124434 & 126879),2613650,CIP,R119,30 WELLBROOK AVENUE,Staten Island,10306,STATEN IS,40.567873,-74.115373,502,50,5107621,5042440001,134,SI0202,"(40.567873, -74.115373)"
P.S. 136 - QUEENS,Q,29,FY24 RESO A LIBRARY UPGRADE,624233,CIP,Q136,201-15 115 AVENUE,Queens,11422,QUEENS,40.659728,-73.735176,413,31,4288640,4135780001,660,QN1307,"(40.659728, -73.735176)"
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,M,3,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,434500,CIP,M470,145 WEST 84 STREET,Manhattan,10003,MANHATTAN,40.732447,-73.983031,106,2,1020419,1009220008,48,MN0602,"(40.732447, -73.983031)"
P.S. 73 - BRONX,X,9,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,15777000,CIP,X073,1020 ANDERSON AVENUE,Bronx,10459,BRONX,40.822719,-73.889435,202,17,2006079,2027470001,119,BX0202,"(40.822719, -73.889435)"
P.S. 97 - BROOKLYN,K,21,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / EXISTING BUILDING WORK,11480000,CIP,K097,1846 WEST 13 STREET,Brooklyn,11214,BROOKLYN,40.597133,-73.991614,311,43,3427175,3068750032,302,BK1103,"(40.597133, -73.991614)"
LOWER EAST SIDE PREP HS - M,M,1,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,449000,CIP,M025,145 STANTON STREET,Manhattan,10003,MANHATTAN,40.735751,-73.981655,106,2,1020513,1009250012,64,MN0602,"(40.735751, -73.981655)"
I.S. 45 - BRONX,X,10,RESO A PLAYGROUND UPGRADE,4589951,CIP,X045,2502 LORILLARD PLACE,Bronx,10460,BRONX,40.834157,-73.887512,203,17,2010786,2029960010,157,BX0303,"(40.834157, -73.887512)"
I.S. 226 - QUEENS,Q,27,FY23 RESO A IPDVS CAMERA INSTALLATION,351460.34,CIP,Q226,121-10 ROCKAWAY BOULEVARD,Queens,11369,QUEENS,40.758408,-73.874472,403,21,4034891,4014230001,353,QN0302,"(40.758408, -73.874472)"
